rel_path,ok,mos,mos_0_100,duration_s,input_sr,channels,error
template_1-no15x782-no.mp3,True,2.939453125,48.486328125,25.38,24000,1,
template_10-no16x867-no.mp3,True,3.11328125,52.83203125,31.08,24000,1,
template_100-no12x804-no.mp3,True,3.068359375,51.708984375,29.22,24000,1,
template_101-no17x679-no.mp3,True,3.21484375,55.37109375,21.84,24000,1,
template_102-no21x009-no.mp3,True,2.923828125,48.095703125,27.2,24000,1,
template_103-no10x508-no.mp3,True,2.71484375,42.87109375,26.48,24000,1,
template_104-no16x849-no.mp3,True,3.435546875,60.888671875,24.42,24000,1,
template_105-no14x774-no.mp3,True,3.259765625,56.494140625,26.68,24000,1,
template_106-no14x651-no.mp3,True,3.025390625,50.634765625,39.08,24000,1,
template_107-no14x585-no.mp3,True,3.556640625,63.916015625,36.78,24000,1,
template_108-no21x146-no.mp3,True,2.859375,46.484375,28.7,24000,1,
template_109-no13x262-no.mp3,True,2.298828125,32.470703125,40.0,24000,1,
template_11-no17x543-de.mp3,True,3.12109375,53.02734375,26.32,24000,1,
template_110-no98xx45-no.mp3,True,3.466796875,61.669921875,26.56,24000,1,
template_111-no15x555-sv.mp3,True,3.15234375,53.80859375,21.28,24000,1,
template_112-no13x838-no.mp3,True,3.1015625,52.5390625,30.58,24000,1,
template_113-no17x547-no.mp3,True,3.43359375,60.83984375,22.2,24000,1,
template_114-no16x491-no.mp3,True,2.37109375,34.27734375,16.66,24000,1,
template_115-no99x879-no.mp3,True,3.162109375,54.052734375,39.98,24000,1,
template_116-no13x551-no.mp3,True,2.8359375,45.8984375,26.78,24000,1,
template_117-no19x436-no.mp3,True,2.8515625,46.2890625,39.98,24000,1,
template_118-no21x378-no.mp3,True,3.37890625,59.47265625,20.9,24000,1,
template_119-no10x637-no.mp3,True,2.646484375,41.162109375,27.5,24000,1,
template_12-no12x129-no.mp3,True,2.419921875,35.498046875,18.4,24000,1,
template_120-no18x496-no.mp3,True,2.580078125,39.501953125,25.54,24000,1,
template_121-no99x128-no.mp3,True,2.859375,46.484375,31.04,24000,1,
template_122-no20x226-no.mp3,True,3.1953125,54.8828125,22.88,24000,1,
template_123-no15x894-no.mp3,True,2.7734375,44.3359375,21.28,24000,1,
template_124-no14x136-no.mp3,True,1.900390625,22.509765625,27.36,24000,1,
template_125-no11x622-no.mp3,True,2.865234375,46.630859375,29.24,24000,1,
template_126-no15x148-no.mp3,True,3.009765625,50.244140625,29.4,24000,1,
template_127-no12x319-no.mp3,True,2.515625,37.890625,31.9,24000,1,
template_128-no12x623-no.mp3,True,3.005859375,50.146484375,39.34,24000,1,
template_129-no16x741-sv.mp3,True,2.814453125,45.361328125,36.22,24000,1,
template_13-no12x623-no.mp3,True,2.986328125,49.658203125,24.58,24000,1,
template_130-no13x166-da.mp3,True,2.85546875,46.38671875,24.5,24000,1,
template_131-no11x155-no.mp3,True,3.21875,55.46875,25.78,24000,1,
template_132-no15x906-no.mp3,True,3.1484375,53.7109375,26.84,24000,1,
template_133-no13x823-no.mp3,True,1.4384765625,10.9619140625,40.0,24000,1,
template_134-no15x148-no.mp3,True,2.6953125,42.3828125,24.44,24000,1,
template_135-no18x321-no.mp3,True,2.548828125,38.720703125,20.96,24000,1,
template_136-no19x442-no.mp3,True,3.142578125,53.564453125,24.84,24000,1,
template_137-no15x094-no.mp3,True,3.37109375,59.27734375,32.28,24000,1,
template_138-no17x685-no.mp3,True,3.078125,51.953125,15.72,24000,1,
template_139-no98x413-no.mp3,True,3.23046875,55.76171875,40.0,24000,1,
template_14-no21x146-no.mp3,True,3.19140625,54.78515625,24.54,24000,1,
template_140-no14xx91-no.mp3,True,3.1015625,52.5390625,25.5,24000,1,
template_141-no16x322-no.mp3,True,3.044921875,51.123046875,23.66,24000,1,
template_142-no14x258-no.mp3,True,2.591796875,39.794921875,24.58,24000,1,
template_143-no19x436-no.mp3,True,3.369140625,59.228515625,30.82,24000,1,
template_144-no12x847-no.mp3,True,2.767578125,44.189453125,29.06,24000,1,
template_145-no11x502-de.mp3,True,2.96875,49.21875,27.06,24000,1,
template_146-no99x128-no.mp3,True,3.115234375,52.880859375,40.0,24000,1,
template_147-no10x637-no.mp3,True,3.341796875,58.544921875,25.86,24000,1,
template_148-no14x565-no.mp3,True,2.751953125,43.798828125,28.48,24000,1,
template_149-no19x809-no.mp3,True,2.802734375,45.068359375,23.32,24000,1,
template_15-no16x113-no.mp3,True,2.798828125,44.970703125,22.34,24000,1,
template_150-no12x826-no.mp3,True,2.93359375,48.33984375,24.98,24000,1,
template_151-no16x394-no.mp3,True,2.662109375,41.552734375,30.4,24000,1,
template_152-no15x094-no.mp3,True,3.25,56.25,28.6,24000,1,
template_153-no11x622-no.mp3,True,3.412109375,60.302734375,22.24,24000,1,
template_154-no15x906-da.mp3,True,3.2578125,56.4453125,25.32,24000,1,
template_155-no19x590-no.mp3,True,3.09765625,52.44140625,30.66,24000,1,
template_156-no16x416-no.mp3,True,3.056640625,51.416015625,30.02,24000,1,
template_157-no12x112-no.mp3,True,2.546875,38.671875,40.0,24000,1,
template_158-no16x742-no.mp3,True,3.376953125,59.423828125,26.24,24000,1,
template_159-no13x861-no.mp3,True,3.150390625,53.759765625,20.84,24000,1,
